gcdm_customer_id,country,optin_channel,data_date
B6FD162E60C91EE68E86F8FE7A744276,AU,N,2021-01-15
B6FD162E60C91EE68CD25861745D8276,AU,Y,2021-01-15
B6FD162E60C91EE68DDC38284D304276,AU,N,2021-01-15
0017A47705E81ED7B7B811A6B76D80C3,AU,N,2021-01-15
0017A47705F21EE697BC2BF7CF005F31,AU,Y,2021-01-15
005056B864471EDB8C96CD62A77B9CB3,AU,,2021-01-15
0017A47705F21EE68BDDA328E5725F31,AU,N,2021-01-15
005056B85CC51EDAB2A0563FB18943CB,AU,Y,2021-01-15
B6FD162E60C91EE68E90E23A792C6276,AU,Y,2021-01-15
0017A47705F21EE6A0E5ACF77A827F31,AU,Y,2021-01-15
B6FD162E60C91EE68E84DD4974C84276,AU,N,2021-01-15
B6FD162E60C91EE68CD3DC6A98372276,AU,,2021-01-15
005056B829D81EE99FC6082EA3FD57CF,AU,N,2021-01-15
B6FD162E60C91EE68DDD0BE1DA652276,AU,N,2021-01-15
0017A47705F21EE68BD3CBC009FC3F31,AU,Y,2021-01-15
B6FD162E60C91EE68E8796C30BB7E276,AU,N,2021-01-15
005056B85CC51EEB92D527C3328531AF,AU,Y,2021-01-15
005056B864471EE9B09ECFF6923E3FF8,AU,Y,2021-01-15
005056B829D81EE9B2B3F134649D11AC,AU,Y,2021-01-15
005056B864471EEA92A6E0FC35D9372B,AU,,2021-01-15
005056B8A9EA1EEABBA4E8B174C761C8,AU,Y,2021-01-15
B6FD162E60C91EE68DD75AF8D4958276,AU,Y,2021-01-15
0017A47705F21EE68BC4D49CC2085F31,AU,N,2021-01-15
005056B85CC51ED8A2B9BB10FF8DCB68,AU,,2021-01-15
B6FD162E60C91EE68CA00CB554692276,AU,N,2021-01-15
005056B85CC51EEA83F5441F60ABF8D2,AU,,2021-01-15
005056B829D81EEB80E4E6B370C26FFD,AU,N,2021-01-15
B6FD162E60C91EE6A2BD436C4D85A276,AU,,2021-01-15
B6FD162E60C91EE68E98A77E5C1D2276,AU,N,2021-01-15
B6FD162E60C91EE6A2BCD92DC6284276,AU,Y,2021-01-15
B6FD162E60C91EE68E8E7D3A8A9D0276,AU,N,2021-01-15
005056B864471EE8A1C3E8D412AC398F,AU,,2021-01-15
B6FD162E60C91EE6A2B9DBE1D186E276,AU,N,2021-01-15
B6FD162E60C91EE68CC770DDA8234276,AU,,2021-01-15
B6FD162E60C91EE68E88DDB8D2EAE276,AU,N,2021-01-15
B6FD162E60C91EE68DE38269B4C5A276,AU,,2021-01-15
B6FD162E60C91EE68CCCF7E3F35FE276,AU,Y,2021-01-15
