id,country,region,city,language,gender,birth_year,birth_month,last_ia_timestamp,optin_channel
005056BF63C01EDCB688B6C26ABA764F,LA,13,,E,,,,,
005056BFC8E81EECB7865A5CA3EEF9AD,LA,13,,E,,,,,
005056BFC8E81EECB7865A5B1E02F9AD,LA,13,,E,,,,,
005056BFC8E81EECB7865A584E3199AD,LA,,,E,,,,,
005056BFC8E81EECB7865A4CA1E979AD,LA,,,E,,,,,
005056BFC8E81EECB4F1B154E1CFF876,LA,13,,E,,,,,
005056BF63C01EDCB688C9DA6AD1D73A,LA,13,,E,,,,,
005056BF63C01EDCB688C9D7436F773A,LA,,,E,,,,,
005056B829D81EDB97C95C9BE6CFF3F4,LA,04,,E,,,,,
005056BFC8E81EECB883FBF548DEE31A,LA,,,E,,,,,
005056BFC8E81EECB883FBF38FCD631A,LA,,,E,,,,,
005056BFC8E81EECB786607EF4C5D9B0,LA,13,,E,,,,,
005056BFC8E81EECB883FBF38FACA31A,LA,,,E,,,,,
005056BF63C01EDCB688D1F6AEDB37B9,LA,,,E,,,,,
005056BF63C01EDCB688D1F6AEC357B9,LA,13,นครหลวง,E,,,,,
005056BFC8E81EECB7866079753C19B0,LA,13,,E,,,,,
005056BFC8E81EECB7866064D787F9B0,LA,,,E,,,,,
005056BFC8E81EDCBFBFBE454CBB287C,LA,,,E,,,,,
005056BF63C01EDCB688DC06A6F2F80D,LA,13,,E,,,,,
005056BF63C01EDCB688E6C0BBFD581A,LA,,,E,,,,,
005056BF63C01EDCB688E6A68440581A,LA,,,E,,,,,
005056BFC8E81EECB78666C385FC79B6,LA,,,E,,,,,
005056BF63C01EDCB688F1C777FA58F7,LA,,,E,,,,,
005056BFC8E81EECB88402F76ED4831E,LA,,,E,,,,,
005056BFC8E81EECB88402F76EB3431E,LA,,,E,,,,,
005056BF63C01EDCB688FBAFEFD158FC,LA,,,E,,,,,
005056BF63C01EDCB6890636BE53DA00,LA,,,E,,,,,
005056BFF94F1EEC86C95E1665B2158C,LA,,,,,,,,Y
005056BFC8E81EECB88409BD1B2D2320,LA,,,E,,,,,
005056BFC8E81EECB88409B6FB29A320,LA,,,E,,,,,
005056BFC8E81EECB884099D08EF6320,LA,,,E,,,,,
005056BFC8E81EECB884099D08BF6320,LA,,,E,,,,,
005056BF63C01EDCB68922C53829BB07,LA,,,E,,,,,
005056BFC8E81EECB7867D3AA0C4FAD2,LA,,,E,,,,,
005056BFC8E81EECB786840DC9381BF0,LA,13,,E,,,,,
005056BFC8E81EECB786840DC8D7FBF0,LA,,,E,,,,,
005056BFC8E81EECB786840B5B899BF0,LA,13,,E,,,,,
005056BFC8E81EECB7868401AE43BBF0,LA,07,,E,,,,,
005056B8A9EA1EDA96C5F8A809EB1510,LA,,,E,,,,,
005056BFC8E81EECB88410D5FA36A410,LA,,,E,,,,,
005056B85CC51EDA949862D4503B6E1F,LA,,,A,,,,,
005056BFC8E81EECB88410CEF0CA6410,LA,,,E,,,,,
005056BFC8E81EECB88410CD705AE410,LA,,,E,,,,,
005056BF63C01EDCB68953F8CF67DD03,LA,,,,,,,,Y
005056BFF94F1EECB98264B27FBE4273,LA,,,,,,,,Y
