gcdm_customer_id,origin,medium,ia_type,timestamp,campaign_id,error,ia_date
D1C28602FDCA1ED6BBDAF612E7E01611,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-08-25T13:34:31Z,0000130490,,2021-08-25
D1C28602FDCA1ED6BCD8BFCDEB0E9611,EMAIL,EMAIL,EMAIL_OUTBOUND,2019-11-22T10:30:08Z,0000065848,,2019-11-22
D1C28602FDCA1ED6BDA4DF41131BB611,EMAIL,EMAIL,EMAIL_OUTBOUND,2022-05-20T16:08:32Z,0000148911,,2022-05-20
D1C28602FDCA1ED6BAC3C4C3A96FF611,EMAIL,EMAIL,EMAIL_OUTBOUND,2018-07-24T16:04:49Z,0000027758,,2018-07-24
D1C28602FDCA1ED6B7BD27F8D1291611,SA,PUSH,PUSH_OUTBOUND,2018-07-12T08:15:17Z,0000026954,,2018-07-12
BD343ACB77231ED5B7836E87358FB08E,EMAIL,EMAIL,EMAIL_OUTBOUND,2018-07-11T09:53:13Z,0000026790,,2018-07-11
BD343ACB77231ED5BDFFCBEA65D1B08E,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-03-20T18:42:57Z,0000113400,,2021-03-20
D1C28602FDCA1ED6B7991DB7641B7611,EMAIL,EMAIL,EMAIL_OUTBOUND,2020-09-26T12:00:52Z,0000094634,,2020-09-26
D1C28602FDCA1ED6B9AE569B6BD11611,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-02-22T08:10:52Z,0000110490,,2021-02-22
D1C28602FDCA1ED6BCB2BB069159B611,SA,PUSH,PUSH_OUTBOUND,2020-12-28T04:00:09Z,0000102880,,2020-12-28
BD343ACB77231ED5BDABC798790F308E,EMAIL,EMAIL,EMAIL_OUTBOUND,2020-06-27T02:35:50Z,0000083028,,2020-06-27
D1C28602FDCA1ED6A3DFA9A1289DB611,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-06-11T15:50:51Z,0000124078,,2021-06-11
D1C28602FDCA1ED6B9C71723DACF9611,EMAIL,EMAIL,EMAIL_OUTBOUND,2022-04-01T14:00:37Z,0000146203,,2022-04-01
D1C28602FDCA1ED6BAF5A4C0D11C1611,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-10-31T05:21:26Z,0000135343,,2021-10-31
D1C28602FDCA1ED6B48C0385FC9DB611,EMAIL,EMAIL,EMAIL_OUTBOUND,2019-09-10T14:37:52Z,0000060584,,2019-09-10
D1C28602FDCA1ED6B6E7AA1685BFD611,SA,PUSH,PUSH_DISPLAYED,2020-01-29T06:28:04Z,0000069747,,2020-01-29
D1C28602FDCA1ED6B9F887A93D561611,SA,PUSH,PUSH_OUTBOUND,2019-11-27T04:43:01Z,0000066171,,2019-11-27
D1C28602FDCA1ED6B586602E0B6F9611,SA,PUSH,PUSH_DISPLAYED,2020-07-25T05:02:45Z,0000086171,,2020-07-25
D1C28602FDCA1ED6B9C624EBEE3A7611,SA,PUSH,PUSH_OUTBOUND,2017-07-06T04:51:21Z,0000007658,,2017-07-06
D1C28602FDCA1ED6BAC78A554430F611,EMAIL,EMAIL,EMAIL_OUTBOUND,2020-10-08T06:05:11Z,0000095708,,2020-10-08
D1C28602FDCA1ED6BB8F98064803F611,SA,PUSH,PUSH_DELIVERED,2021-12-25T00:58:01Z,0000140029,,2021-12-25
005056B829D81ED8A3BAC11BF8856C47,EMAIL,EMAIL,EMAIL_OUTBOUND,2020-03-05T05:14:13Z,0000073897,,2020-03-05
BD343ACB77231ED5A4DE5704D6E0308E,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-07-21T10:22:22Z,0000127333,,2021-07-21
BD343ACB77231ED5A7913963F32A708E,EMAIL,EMAIL,EMAIL_OUTBOUND,2020-12-07T16:12:16Z,0000101293,,2020-12-07
BD343ACB77231ED5AEAF24BB2B58508E,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-01-14T08:10:05Z,0000104546,,2021-01-14
BD343ACB77231ED5B6F9BC5542A3108E,EMAIL,EMAIL,EMAIL_OUTBOUND,2022-07-09T01:06:58Z,0000151247,,2022-07-09
BD343ACB77231ED5B6FD5AD97BCDF08E,EMAIL,EMAIL,EMAIL_OUTBOUND,2019-04-29T15:26:41Z,0000048834,,2019-04-29
BD343ACB77231ED5B781DEA2EA10B08E,EMAIL,EMAIL,EMAIL_OUTBOUND,2021-02-06T13:57:44Z,0000108654,,2021-02-06
D1C28602FDCA1ED6B7BAB5EFCB34F611,SA,PUSH,PUSH_OUTBOUND,2017-04-28T02:04:44Z,0000005678,,2017-04-28
