"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 1","Dentsu","Philips","284593651","CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","3694.3581878916093","12957.424259967891"
"Tier 1","GroupM","Fonterra","139272103","Non CBP","1","1","paid ads","2021-06-01 00:00:00.0","6",,
"Tier 1","GroupM","Shiseido CPC","267070662","CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","738.4801466124262","495.87236395597205"
"Tier 1","Publicis","Budweiser","145529863","Non CBP","1","1","paid ads","2021-02-01 00:00:00.0","2","325.04380156102997","94.21783460531418"
"Tier 1","GroupM","Fonterra","135890280","CBP","1","1","paid ads","2021-08-01 00:00:00.0","8",,
"Tier 1","OMD","Philips","94123517","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","718.1864063577536","37.473635988818366"
"Tier 1","Dentsu","RB Health","328910017","Non CBP","1","0","paid ads","2021-11-01 00:00:00.0","11","0.0","0.0"
"Tier 2","OnPoint","Taisun","303751418","Non CBP","0","1","paid ads","2021-06-01 00:00:00.0","6",,
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","549.926800507516","369.2631465061212"
"Tier 2","PMAX","Logitech","52679373","Non CBP","1","0","paid ads","2021-12-01 00:00:00.0","12","0.0",
"Tier 1","GroupM","Nutifood","132920733","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5",,
