"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","1155.2695209173512","775.7368034488617"
"Tier 2","PMAX","Hafele","362649986","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","2463.623942585931",
"Tier 1","Dentsu","Mentholatum","95753434","CBP","1","0","paid ads","2021-06-01 00:00:00.0","6","0.0","0.0"
"Tier 1","GroupM","Colgate-Palmolive Vietnam","130860061","CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","5900.573972942134","3962.099154705514"
"Tier 2","PMAX","Logitech","52679373","Non CBP","1","0","paid ads","2021-01-01 00:00:00.0","1","0.0",
"Tier 1","Dentsu","Mentholatum","59597911","CBP","1","0","paid ads","2021-03-01 00:00:00.0","3","0.0","0.0"
"Tier 2","Intrepid","Yves Rocher","111139273","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","761.7128774264895",
"Tier 2","OnPoint","Brother","310986511","Non CBP","0","1","paid ads","2021-10-01 00:00:00.0","10","889.7691410910234",
"Tier 1","Publicis","L'Oreal CPD","421677475","CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","12216.514639141047","3541.1029227329445"
"Tier 2","OnPoint","Shiseido Prestige","392896126","Non CBP","0","0","paid ads","2021-10-01 00:00:00.0","10","0.0",
"Tier 1","Dentsu","RB Health","61792033","CBP","1","0","paid ads","2021-10-01 00:00:00.0","10","0.0","0.0"
"Tier 2","Intrepid","Yves Rocher","111139273","Non CBP","1","1","paid ads","2021-06-01 00:00:00.0","6",,
"Tier 1","OMD","Star Kombucha","218106617","Non CBP","1","1","paid ads","2021-03-01 00:00:00.0","3","5.531299854515482","0.2886129777146809"
"Tier 1","GroupM","P&G","148910286","CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","11611.331146546867","7796.740712293807"
