Description,Id,ExternalId
State,7b5a5b03-0010-4a5c-a819-1485d50057a9,
All But Fed Pcts,a6524afe-7799-410f-9a32-295e3b51ecab,
State Senate,9ebcb317-0c7d-4b06-83ea-e32c27dec229,
State House,671ebe1d-ceaa-49a3-917d-e8cab970fc69,
Judicial,16111a70-6409-453f-8101-349cb2c3b526,
