Description,Id,ExternalId,PrecinctId
26-380 Snowshoe,189,26-380,189
27-405 Foothills,190,27-405,190
27-410 Meadow Lakes No. 1,191,27-410,191
27-415 Meadow Lakes No. 2,192,27-415,192
27-420 Wasilla No. 1,193,27-420,193
27-425 Wasilla No. 2,194,27-425,194
28-450 Lakes No. 1,195,28-450,195
28-455 Lakes No. 2,196,28-455,196
28-460 Seldon No. 1,197,28-460,197
28-465 Seldon No. 2,198,28-465,198
28-470 Seward Meridian,199,28-470,199
28-475 Trunk,200,28-475,200
28-480 Wasilla Lake,201,28-480,201
29-505 Farm Loop,202,29-505,202
29-510 Fishhook,203,29-510,203
29-515 Kings Lake,204,29-515,204
29-520 Lakes No. 3,205,29-520,205
29-525 Sheep Mountain,206,29-525,206
29-530 Sutton,207,29-530,207
29-535 Valdez No. 1,208,29-535,208
29-540 Valdez No. 2,209,29-540,209
29-545 Valdez No. 3,210,29-545,210
30-550 Anderson/Clear,211,30-550,211
30-555 Big Lake,212,30-555,212
30-560 Cantwell,213,30-560,213
30-565 Denali Park,214,30-565,214
30-570 East Schrock,215,30-570,215
30-575 Healy,216,30-575,216
30-580 Houston,217,30-580,217
30-585 Knik Goose Bay No. 4,218,30-585,218
30-590 Trapper Creek,219,30-590,219
30-595 Susitna,220,30-595,220
30-600 Talkeetna,221,30-600,221
30-605 Willow,222,30-605,222
31-446 Aurora,223,31-446,223
31-455 Fairbanks No. 1,224,31-455,224
31-480 Fairbanks No. 2,225,31-480,225
31-485 Fairbanks No. 3,226,31-485,226
32-355 Fairbanks No. 4,227,32-355,227
32-365 Fairbanks No. 5,228,32-365,228
32-375 Fort Wainwright,229,32-375,229
32-385 Badger No. 2,230,32-385,230
33-130 Badger No. 1,231,33-130,231
33-135 Chena Lakes,232,33-135,232
33-155 Moose Creek,233,33-155,233
33-165 Newby,234,33-165,234
33-175 North Pole,235,33-175,235
33-183 Plack,236,33-183,236
34-235 Eielson,237,34-235,237
34-238 Eielson Farm Road,238,34-238,238
