Description,Id,ExternalId
Nonpartisan,1,
Undeclared,2,
Registered AK Independence,3,
Registered Alliance,4,
Registered AK Constitution,5,
Registered Democrat,6,
Registered FreedomReform,7,
Registered Green,8,
Registered Libertarian,9,
Registered Moderate,10,
Registered OWL,11,
Registered Patriot's,12,
Registered Progressive,13,
Registered Republican,14,
Registered UCES' Clowns,15,
Registered Veterans of AK,16,
